strain	replicate	conc	time	value
D	2	15.63	15	0.082
D	2	15.63	16	0.085
D	2	15.63	17	0.088
D	2	15.63	18	0.089
D	2	15.63	19	0.091
D	2	15.63	20	0.093
D	2	15.63	21	0.095
D	2	15.63	22	0.097
D	2	15.63	23	0.101
D	2	15.63	24	0.101
D	2	15.63	25	0.103
D	2	15.63	26	0.103
D	2	15.63	27	0.107
D	2	15.63	28	0.107
D	2	15.63	29	0.107
D	2	15.63	30	0.109
D	2	31.25	0	0.012
D	2	31.25	1	0.012
D	2	31.25	2	0.012
D	2	31.25	3	0.013
D	2	31.25	4	0.013
D	2	31.25	5	0.021
D	2	31.25	6	0.016
D	2	31.25	7	0.018
D	2	31.25	8	0.022
D	2	31.25	9	0.028
D	2	31.25	10	0.036
D	2	31.25	11	0.048
D	2	31.25	12	0.059
D	2	31.25	13	0.071
D	2	31.25	14	0.08
D	2	31.25	15	0.086
D	2	31.25	16	0.091
D	2	31.25	17	0.096
D	2	31.25	18	0.099
D	2	31.25	19	0.102
D	2	31.25	20	0.106
D	2	31.25	21	0.108
D	2	31.25	22	0.11
D	2	31.25	23	0.113
D	2	31.25	24	0.115
D	2	31.25	25	0.117
D	2	31.25	26	0.118
D	2	31.25	27	0.121
D	2	31.25	28	0.124
D	2	31.25	29	0.124
D	2	31.25	30	0.126
D	2	62.5	0	0.008
D	2	62.5	1	0.008
